,title,author,release year,synopsis,book length,rating,number of ratings
487,"Rules of Attraction (Perfect Chemistry, #2)",Simone Elkeles,2010,,,4.18,86658
488,"Opal (Lux, #3)",Jennifer L. Armentrout,2012,"No one is like Daemon Black.When he set out to prove his feelings for me, he wasn’t fooling around. Doubting him isn’t something I’ll do again, and now that we’ve made it through the rough patches, well… There’s a lot of spontaneous combustion going on.But even he can’t protect his family from the danger of trying to free those they love.After everything, I’m no longer the",394,4.26,143863
489,"The Bridge Kingdom (The Bridge Kingdom, #1)",Danielle L. Jensen,2018,,,4.09,74312
490,"Again the Magic (Wallflowers, #0)",Lisa Kleypas,2004,,,4.05,38636
491,"Ten Tiny Breaths (Ten Tiny Breaths, #1)",K.A. Tucker,2012,,,4.1,76134
492,"Dead to the World (Sookie Stackhouse, #4)",Charlaine Harris,2004,"Sookie Stackhouse is a cocktail waitress in Bon Temps, Louisiana. She has only a few close friends, because not everyone appreciates Sookie’s gift: she can read minds. That’s not exactly every man’s idea of date bait – unless they’re undead; vampires and the like can be tough to read. And that’s just the kind of guy Sookie’s been looking for. Maybe that’s why, when she com",291,4.12,253637
493,You've Reached Sam (Hardcover),Dustin Thao,2021,"Seventeen-year-old Julie has her future all planned out—move out of her small town with her boyfriend Sam, attend college in the city, spend a summer in Japan. But then Sam dies. And everything changes.Heartbroken, Julie skips his funeral, throws out his things, and tries everything to forget him and the tragic way he died. But a message Sam left behind in her yearbook for",296,3.77,52535
494,The Fill-In Boyfriend (Paperback),Kasie West,2015,"When Gia Montgomery's boyfriend, Bradley, dumps her in the parking lot of her high school prom, she has to think fast. After all, she'd been telling her friends about him for months now. This was supposed to be the night she proved he existed. So when she sees a cute guy waiting to pick up his sister, she enlists his help. The task is simple: be her fill-in boyfriend—two h",352,3.9,61519
495,How to Fail at Flirting (Paperback),Denise  Williams,2020,"One daring to-do list and a crash course in flirtation turn a Type A overachiever’s world upside down.When her flailing department lands on the university's chopping block, Professor Naya Turner’s friends convince her to shed her frumpy cardigan for an evening on the town. For one night her focus will stray from her demanding job and she’ll tackle a new kind of to-do list.",343,3.82,24275
496,"Club Dead (Sookie Stackhouse, #3)",Charlaine Harris,2003,"Things between cocktail waitress Sookie and her vampire boyfriend Bill seem to be going excellently (apart from the small matter of him being undead) until he leaves town for a while. A long while. Bill's sinister boss Eric has an idea of where to find him, whisking her off to Jackson, Mississippi to mingle with the under-underworld at Club Dead. When she finally catches u",274,4.01,230201
497,"Angelfall (Penryn & the End of Days, #1)",Susan Ee,2011,,,4.11,184716
498,Lovely War (Hardcover),Julie Berry,2019,"It's 1917, and World War I is at its zenith when Hazel and James first catch sight of each other at a London party. She's a shy and talented pianist; he's a newly minted soldier with dreams of becoming an architect. When they fall in love, it's immediate and deep--and cut short when James is shipped off to the killing fields.Aubrey Edwards is also headed toward the trenche",471,4.25,44230
499,"Any Duchess Will Do (Spindle Cove, #4)",Tessa Dare,2013,,,4.04,23816
500,"Any Duchess Will Do (Spindle Cove, #4)",Tessa Dare,2013,"What’s a duke to do, when the girl who’s perfectly wrong becomes the woman he can’t live without? Griffin York, the Duke of Halford, has no desire to wed this season—or any season—but his diabolical mother abducts him to “Spinster Cove” and insists he select a bride from the ladies in residence. Griff decides to teach her a lesson that will end the marriage debate forever.",375,4.04,23816
501,"Any Duchess Will Do (Spindle Cove, #4)",Tessa Dare,2013,"What’s a duke to do, when the girl who’s perfectly wrong becomes the woman he can’t live without? Griffin York, the Duke of Halford, has no desire to wed this season—or any season—but his diabolical mother abducts him to “Spinster Cove” and insists he select a bride from the ladies in residence. Griff decides to teach her a lesson that will end the marriage debate forever.",375,4.04,23816
502,"Any Duchess Will Do (Spindle Cove, #4)",Tessa Dare,2013,"What’s a duke to do, when the girl who’s perfectly wrong becomes the woman he can’t live without? Griffin York, the Duke of Halford, has no desire to wed this season—or any season—but his diabolical mother abducts him to “Spinster Cove” and insists he select a bride from the ladies in residence. Griff decides to teach her a lesson that will end the marriage debate forever.",375,4.04,23816
503,Something Wilder (Hardcover),Christina Lauren,2022,"Growing up the daughter of notorious treasure hunter and absentee father Duke Wilder left Lily without much patience for the profession… or much money in the bank. But Lily is nothing if not resourceful, and now uses Duke’s coveted hand-drawn maps to guide tourists on fake treasure hunts through the red rock canyons of Utah. It pays the bills but doesn’t leave enough to fu",384,3.74,42112
504,"The Bronze Horseman (The Bronze Horseman, #1)",Paullina Simons,2000,"Librarian note: alternate covers for this edition can be found here and here and here.During the summer of 1941 the Metanov family are living a hard life in Leningrad. As the German armies advance their future looks bleak. For Tatiana, love arrives in the guise of Alexander, who harbours a deadly and extraordinary secret.",637,4.3,78595
505,Love in the Time of Cholera (Paperback),Gabriel García Márquez,1985,"In their youth, Florentino Ariza and Fermina Daza fall passionately in love. When Fermina eventually chooses to marry a wealthy, well-born doctor, Florentino is heartbroken, but he is a romantic. As he rises in his business career he whiles away the years in 622 affairs—yet he reserves his heart for Fermina. Her husband dies at last, and Florentino purposefully attends the",348,3.93,466520
506,"Life's Too Short (The Friend Zone, #3)",Abby Jimenez,2021,,,4.21,53005
507,Just the Sexiest Man Alive (Mass Market Paperback),Julie James,2008,"No woman could resist him—except the one he wanted most...Cool, Calm, Collected...Nothing fazes Taylor Donovan. In the courtroom she never lets the opposition see her sweat. In her personal life, she never lets any man rattle her—not even her cheating ex-fiancé. So when she's assigned to coach People's ""Sexiest Man Alive"" for his role in his next big legal thriller, she re",296,3.92,44264
508,"The Heiress Effect (Brothers Sinister, #2)",Courtney Milan,2013,,,3.91,14403
509,"Sugar Daddy (Travises, #1)",Lisa Kleypas,2007,"
She's from the wrong side of the tracks.
Liberty Jones has dreams and determination that will take her far away from Welcome, Texas—if she can keep her wild heart from ruling her mind. Hardy Cates sees Liberty as completely off-limits. His own ambitions are bigger than Welcome, and Liberty Jones is a complication he doesn't need. But something magical and potent draws t",371,4.01,42517
510,An Enchantment of Ravens (Hardcover),Margaret  Rogerson,2017,"Every enchantment has a price.With a flick of her paintbrush, Isobel creates stunning portraits for a dangerous set of clients: the fair folk. These immortal creatures cannot bake bread or put a pen to paper without crumbling to dust. They crave human Craft with a terrible thirst, and they trade valuable enchantments for Isobel’s paintings. But when she receives her first ",304,3.65,73870
511,Weather Girl (Paperback),Rachel Lynn Solomon,2022,,,3.69,25101
512,"A Promise of Fire (Kingmaker Chronicles, #1)",Amanda Bouchet,2016,"KINGDOMS WILL RISE AND FALL FOR HER...Cat Fisa isn't who she pretends to be. She's perfectly content disguised as a soothsayer in a traveling circus, avoiding the destiny the Gods—and her dangerous family—have saddled her with. As far as she's concerned, the magic humming within her blood can live and die with her. She won't be anyone’s pawn.But then she locks eyes with an",445,4.04,32350
513,"Beautiful Player (Beautiful Bastard, #3)",Christina Lauren,2013,"A bombshell bookworm. A chronic Casanova. And a lesson in chemistry too scandalous for school.When Hanna Bergstrom receives a lecture from her overprotective brother about neglecting her social life and burying herself in grad school, she’s determined to tackle his implied assignment: get out, make friends, start dating. And who better to turn her into the sultry siren eve",432,4.28,67011
514,"The Gamble (Colorado Mountain, #1)",Kristen Ashley,2011,,,4.26,57504
515,She Drives Me Crazy (ebook),Kelly Quindlen,2021,,,4.03,32631
516,Part of Your World (Paperback),Abby Jimenez,2022,,,4.41,54863
517,"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,2018,"Aelin Galathynius has vowed to save her people ― but at a tremendous cost. Locked within an iron coffin by the Queen of the Fae, Aelin must draw upon her fiery will as she endures months of torture. The knowledge that yielding to Maeve will doom those she loves keeps her from breaking, but her resolve is unraveling with each passing day…With Aelin captured, friends and all",984,4.62,261600
518,"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,2017,,,4.28,246170
519,"Days of Blood & Starlight (Daughter of Smoke & Bone, #2)",Laini Taylor,2012,"Once upon a time, an angel and a devil fell in love and dared to imagine a world free of bloodshed and war.This is not that world.Art student and monster's apprentice Karou finally has the answers she has always sought. She knows who she is—and what she is. But with this knowledge comes another truth she would give anything to undo: She loved the enemy and he betrayed her,",517,4.14,156341
520,Ayesha at Last (Paperback),Uzma Jalaluddin,2018,,,3.89,21810
521,"Real (Real, #1)",Katy Evans,2013,,,4.16,106565
522,"The ​Crown of Gilded Bones (Blood and Ash, #3)",Jennifer L. Armentrout,2021,,,4.23,160403
523,"The Rogue Not Taken (Scandal & Scoundrel, #1)",Sarah MacLean,2015,"LADY SOPHIE'S SOCIETY SPLASHThe youngest of the infamous Talbot sisters scandalized society at the Liverpool Summer Soiree, striking her sister’s notoriously philandering husband and landing him backside-first in a goldfish pond. And we thought Sophie was the quiet one…When she finds herself the target of very public aristocratic scorn, Sophie Talbot does what she must to ",419,3.95,21806
